Revised,Number,Vocabulary,Meaning
,861,supply,[他] ①～を供給する [名] ②供給
,862,replace,[他] ①～に取って代わる ②（A with B）（A）を（B に）取り替える
,863,exchange,[他] ①～を交換する [名] ②交換
,864,substitute,[他] ①（A for B)（B の）代わりに（A）を用いる [自] ②（for ～）（～の）代わりになる，代わりをする [形] ③代わりの [名] ④（for ～）（～の）代用品，代理人
,865,submit,[他] ①（願書，辞表など）を提出する [自] ②（to ～）（～に）服従する
,866,alternative,[名] ①（to ～）（～の）代わりのもの ②選択肢 [形] ③代わりの、既存のものとは違う
,867,deliver,[他] ①～を配達する ②（演説など）をする
,868,enclose,[他] ①～を同封する ②～を囲む，閉じ込める
,869,envelope,[名] 封筒
,870,trick,[名] ①（悪意のない）いたずら ②（巧妙な）手口，策略 ③芸，手品 ④（of ～）秘けつ [他] ⑤～をだます
,871,load,[名] ①荷（物）〈可算〉 [他] ②（A with B）（A）に（B を）積む
,872,content,[名] ①中身，内容 [形] ②（with ～）（～に）満足して
,873,household,[名] ①（集合的に）所帯，家庭〈可算〉 [形] ②家庭の
,874,good,[名] ①（―s）商品 ②利益 [形] ③（a ― many ～）かなりの
,875,luxury,[名] ①高級（品），ぜいたく品 ②（形容詞的に）豪華な，ぜいたくな
,876,credit,[名] ①（― card）クレジットカード ②功績，手柄 ③（大学の）単位 [他] ④～の功績を認める
,877,questionnaire,[名] アンケート
,878,reservation,[名] ①予約 ②慎重な姿勢
,879,fuss,[名] 大騒ぎ
,880,reward,[名] ①報酬，褒美 ，懸賞金 [他] ②～に褒美を与える，報いる
,881,farewell,[名] 別れ（のあいさつ）
,882,reception,[名] ①もてなし，歓迎会 ②（ホテルの）フロント ③受信状況
,883,portion,[名] ①（食事の）1盛り ②（食堂などでの）1人前 ③一部
,884,laundry,[名] ①〈米〉洗濯 ②〈米〉洗濯物 ③クリーニング店（＝a cleaner's）
,885,nap,[名] ①昼寝，仮眠 [自] ②昼寝をする，仮眠をとる
,886,wake,[自] ①目が覚める [他] ②（眠っている人）を起こす
,887,vending machine,[名] 自動販売機
,888,grocery,[名] ①食料雑貨店 ②（―ies）食料雑貨類
,889,appointment,[名] ①（病院などの）予約，（面会の）約束 ②（役職などの）任命，指名
,890,consult,[他] ①～に相談する ②（辞書）を引く [自] ③（with ～）（～に）相談する
,891,register,[他] ①～を登録する，記録する [自] ②（for ～）（授業などに）登録する ③（ホテルなどで）記帳する [名] ④登録（票），登録簿
,892,dye,[他] ①～を染める [名] ②染料
,893,subscribe,[自] ①（to ～）（～を）定期購読する，加入している ②（主に否定文で）（to ～）（考えなどを）支持する
,894,guarantee,[他] ①～を保証する [名] ②保証（期間）
,895,wipe,[他] ①～を拭く ②～を一掃する，壊滅させる
,896,sweep,[他] ①（床，地面）を掃く ②（風，波などが）～を押し流す
,897,transfer,[自] ①（電車などを）乗り換える ②転勤［転校，移籍］する [他] ③（物，活動拠点など）を移す，～を転勤［転属］させる ④（銀行で）～を振り込む
,898,divorce,[自] ①離婚する [他] ②～と離婚する [名] ③離婚
,899,fate,[名] 運命，宿命
,900,destiny,[名] 運命
,901,flavor,[名] 風味，味〈可算〉
,902,perfume,[名] ①香り ②香水
,903,ingredient,[名] ①（料理などの）材料 ②（何かを達成するための）要因 ③成分
,904,bitter,[形] ①苦い，つらい ②憤慨して
,905,aisle,[名] 通路
,906,track,[名] ①足跡，小道 ②（鉄道の）線路，プラットホーム [他] ③～を追跡する
,907,district,[名] 地区
,908,facility,[名] ①施設，設備 ②能力，器用さ
,909,height,[名] ①高さ ②高い所 ③最盛期
,910,distant,[形] 遠い
,911,locate,[他] ①（be ―d）～に位置している，ある ②～の場所を見つける
,912,occupy,[他] ～を占める
,913,surround,[他] ～を取り囲む，包囲する
,914,classical,[形] ①（音楽，バレエ，ダンスなどで）クラシックの ②古典的な
,915,civilization,[名] 文明
,916,heritage,[名] 遺産
,917,script,[名] ①台本，脚本 ②（ある言語の）文字 ③（手書きの）文字
,918,tale,[名] 話
,919,literature,[名] ①文学 ②文献 （①②ともに〈不可算〉）
,920,tragedy,[名] 悲劇〈可算〉
,921,poetry,[名] 詩〈不可算〉
,922,biography,[名] 伝記
,923,term,[名] ①用語，言葉 ②（long［short］などを伴い）期間，学期，任期 ③（be on ～ ―s）（～の）間柄（である)④（―s）（契約などの）条件
,924,proverb,[名] 諺
,925,dialect,[名] 方言
,926,fluent,[形] 流暢な
,927,translate,[他] ①～を翻訳する [自] ②（into ～）（結果として）～に変わる
,928,define,[他] ①～を定義する ②～を規定する
,929,interpret,[他] ①～を解釈する ②～を通訳する [自] ③通訳する
,930,quote,[他] ①～を引用する ②～に価格を提示する [名] ③引用文 ④提示価格，見積り
,931,literally,[副] 文字どおりに
,932,indicate,[他] ①（データなどが）～を示す ②～を指し示す
,933,reveal,[他] ～を明らかにする，暴露する
,934,announce,[他] ～を発表する
,935,broadcast,[他] ①～を放送する [名] ②（１回の）放送
,936,prove,[他] ①～を証明する ②（to be ～）～だとわかる
,937,advertise,[他] ～を宣伝する
,938,clarify,[他] ～を明らかにする
,939,seek,[他] ①～を求める ②（to do）～しようと努める
,940,entertain,[他] ①～を楽しませる ②～をもてなす
,941,amuse,[他] ～を楽しませる
,942,attract,[他] ～を引きつける，魅了する
,943,fascinate,[他] ～を魅了する，～にとても興味をもたせる
,944,absorb,[他] ①（be ―ed in ～）～に没頭する ②～を吸収する
,945,fond,[他] ①（be ― of～）（～が）好きだ ②懐かしい
,946,scare,[他] ～をおびえさせる
,947,alarm,[他] ①～をぎょっとさせる [名] ②恐怖，不安
,948,amaze,[他] ～を驚かせる
,949,irritate,[他] （長期にわたって）～をいらいらさせる
,950,upset,[他] ①～を動揺させる ②（均衡など）を乱す [形] ③動揺して，腹を立てて
,951,puzzle,[他] ①～を当惑させる [名] ②難問，パズル
,952,confuse,[他] ①～を混乱させる，困惑させる ②（A with［and］ B)（A）を（Bと）混同する
,953,bore,[他] ～をうんざりさせる，退屈させる
,954,frustrate,[他] ①～を欲求不満にさせる ②（計画など）を挫折させる
,955,disappoint,[他] ～を失望させる
,956,embarrass,[他] ～に恥ずかしい思いをさせる，困惑させる
,957,ashamed,[形] 恥ずかしい
,958,uneasy,[形] 不安な，胸騒ぎがする
,959,hesitate,[自] ためらう
,960,reluctant,[形] （to do）（～するのは）気が進まない
,961,tremble,[自] 震える
,962,boast,[自] ①自慢する [他] ②（場所や組織が）～を誇りにしている
,963,jealous,[形] （of ～）（～に）嫉妬した
,964,envy,[他] ①～を羨ましく思う [名] ②羨望
,965,yell,[自] ①叫ぶ，大声をあげる [名] ②叫び，わめき声
,966,respect,[他] ①（人）を尊敬する ②（物）を尊重する [名] ③（for ～）（～に対する）尊敬，尊重 ④（in ―）点
,967,despair,[名] 絶望
,968,emotion,[名] （特に強い）感情〈可算〉
,969,sympathy,[名] ①同情 ②共感
,970,shame,[名] ①残念なこと ②恥
,971,confidence,[名] ①自信 ②（in ～）（～に対する）信頼
,972,courage,[名] 勇気
,973,passion,[名] 情熱
,974,sorrow,[名] 悲しみ
,975,ignore,[他] （人，物）を無視する
,976,offend,[他] （人，物が）～を怒らせる，～の気分を害する
,977,depress,[他] ～を憂うつにさせる，落ち込ませる
,978,owe,[他] （A to B)①（A）は（B の）おかげだ ②（A）を（Bに）借りている
,979,fear,[名] ①恐怖 [他] ②～を恐れる ③～を心配する
,980,method,[名] 方法
,981,medium,[名] ①（情報伝達）手段，媒体，メディア [形] ②中間の
,982,means,[名] ①手段〈単複同形〉 ②（特定な表現で）財産，収入
,983,extent,[名] 程度
,984,extremely,[副] 極度に，非常に
,985,total,[形] ①全体の ②（a ―）まったくの [名] ③合計
,986,largely,[副] ①大部分は ②主に
,987,moderate,[形] 適度な，節度のある
,988,somewhat,[副] いくぶん
,989,subtle,[形] かすかな
,990,possibly,[副] ①ひょっとすると ②（cannot ―）どうしても（～できない）
,991,eventually,[副] 最終的に，ついに
,992,necessarily,[副] （not ―）必ずしも（～ない）
,993,frankly,[副] 率直に
,994,ironically,[副] 皮肉なことに
,995,moreover,[副] その上
,996,otherwise,[副] ①さもなければ ②ほかの点では ③ほかの方法で
,997,regardless,[副] （of ～）（～とは）無関係に
,998,worth,[前] ①～の価値がある ②（― doing）（～する）価値がある [名] ③価値，（～）相当
,999,according to,[前] ①（調査，人の話など）によれば ②（能力など）に応じて
,1000,despite,[前] ～にもかかわらず
,1001,propose,[他] ①～を提案する [自] ②（to ～）（～に）結婚を申し込む
,1002,dismiss,[他] ①（意見や考えなど）を退ける ②～を解雇する
,1003,bless,[他] ～を祝福する
,1004,glory,[名] 栄光
,1005,compliment,[名] ①褒め言葉，賛辞 [他] ②～を褒める
,1006,feast,[名] ①宴会，祝宴 ②とても楽しいこと，喜ばせるもの
,1007,declare,[他] ①～を宣言する ②（税関や税務署で）～を申告する
,1008,highlight,[他] ①～を強調する [名] ②呼び物，目玉商品，ハイライト
,1009,imply,[他] ～をほのめかす，（暗に）～を意味する
,1010,recite,[他] ～を暗唱する
,1011,ray,[名] ①光線 ②放射線 ③（a ― of）一縷の，わずかな
,1012,radiation,[名] 放射線
,1013,laboratory,[名] 研究室，研究所
,1014,oxygen,[名] 酸素
,1015,molecule,[名] 分子
,1016,compound,[名] ①化合物 [形] ②複合的な
,1017,tissue,[名] ①組織 ②ティッシュペーパー
,1018,cell,[名] ①細胞 ②電池 ③独房 （①②③いずれも〈可算〉)
,1019,gene,[名] 遺伝子〈可算〉
,1020,substance,[名] ①物質 ②本質，根拠 <不可算>
,1021,solid,[形] ①固体の ②ぎっしり詰まった [名] ③固体
,1022,satellite,[名] ①（月などの）衛星 ②人工衛星
,1023,orbit,[名] ①軌道 [他] ②（惑星などが）～を周回する
,1024,launch,[他] ①（ロケットなど）を打ち上げる ②（運動，事業など）を始める [名] ③打ち上げ，開始，発売
,1025,attempt,[名] ①試み [他] ②（to do）（～しようと）試みる
,1026,capacity,[名] ①能力 ②容量，収容力
,1027,capable,[形] ①（of ～）（～する）力がある ②有能な
,1028,attain,[他] ①（人が主語）～を達成する ②（物，人が主語）～に到達する
,1029,desperate,[形] ①必死の ②（状況が）絶望的な
,1030,dedicate,[他] （A to B）（A）を（B に）捧げる
,1031,pain,[名] ①苦痛 ②（―s）苦労
,1032,strain,[名] ①（心身の）負担，無理 [他] ②（目や筋肉など）を痛める
,1033,remedy,[名] ①治療法，治療薬 ②改善策，対策（①②いずれも〈可算〉）
,1034,pharmacy,[名] （調剤）薬局
,1035,physician,[名] ①〈米〉医師 ②〈英〉内科医
,1036,disorder,[名] （心身の）不調
,1037,pregnant,[形] 妊娠した
,1038,clinical,[形] 臨床の
,1039,heal,[他] ①～を治す [自] ②治る
,1040,infect,[他] （人，動物，地域）に感染させる，伝染する
,1041,ankle,[名] 足首
,1042,thumb,[名] 親指
,1043,forehead,[名] 額，おでこ
,1044,chin,[名] 下あご，あごの先端
,1045,chest,[名] ①胸（部)②（大きな木の）箱，密閉容器
,1046,breast,[名] （主に女性の）胸，乳房
,1047,lung,[名] 肺〈可算〉
,1048,organ,[名] ①臓器，(動植物の)器官 ②(楽器)オルガン（①②ともに<可算>）
,1049,vision,[名] ①視力，視野 ②未来像 ③未来を見通す力，先見の明
,1050,skeleton,[名] 骸骨，骨格
,1051,sensation,[名] ①感覚 ②（説明し難い）感情
,1052,code,[名] ①（服装などの）規定 ②暗号
,1053,agenda,[名] 議題，協議事項
,1054,liberty,[名] 自由
,1055,committee,[名] 委員会
,1056,humanity,[名] ①（集合的に）人類 ②（the ―ies）人文科学 ③人間性
,1057,mankind,[名] （集合的に）人類
,1058,authority,[名] ①権威 ②権力 ③（―ies）当局
,1059,justice,[名] 正義
,1060,insurance,[名] 保険〈不可算〉
,1061,hardship,[名] （主に経済的）苦難
,1062,poverty,[名] 貧困〈不可算〉
,1063,chaos,[名] 大混乱，混沌〈不可算〉
,1064,isolation,[名] 孤立，分離，孤独感
,1065,region,[名] 地域
,1066,proof,[名] ①証拠，証明〈不可算〉 [形] ②（複合語で）～を防ぐ，～に耐える
,1067,warranty,[名] 保証
,1068,principle,[名] ①原理，原則 ②主義，信念
,1069,origin,[名] 起源
,1070,setting,[名] ①環境，状況 ②（小説，劇，機械などの）設定，舞台（①②ともに<可算>）
,1071,mission,[名] ①任務，使命 ②使節団 ③（主にキリスト教の）布教（団）
,1072,project,[名] ①計画，企画 [他] ②（予算など）を見積もる ③～を投影する
,1073,monument,[名] 記念碑，遺跡，史跡
,1074,revolution,[名] 革命
,1075,contract,[名] ①契約 [他] ②～を契約する ③（病気）に感染する
,1076,infrastructure,[名] インフラ、基本的施設
,1077,negotiate,[自] ①（with ～）（～と）交渉する [他] ②（交渉の上で，条件など）を取り決める
,1078,cooperate,[自] （with ～）（～と）協力する，（in ～）（～を）協力する
,1079,restore,[他] ①（治安など）を回復する ②（古い建物，絵など）を修復する
,1080,found,[他] ～を創立する
,1081,conservative,[形] 保守的な
,1082,affair,[名] ①（―s）情勢 ②（スキャンダラスな）事件 ③情事，浮気
,1083,agency,[名] ①（政府）機関 ②代理店
,1084,council,[名] 議会
,1085,kingdom,[名] ①（the ～ kingdom）～界，社会 ②王国
,1086,republic,[名] 共和国
,1087,empire,[名] 帝国
,1088,aid,[名] 援助，救援物資〈不可算〉
,1089,reform,[名] 改革
,1090,minister,[名] ①大臣 ②牧師
,1091,parliament,[名] 議会
,1092,territory,[名] ①領土 ②（動物などの）縄張り，（学問などの）領域
,1093,poll,[名] ①（政治関連の）世論調査 ②投票 [他] ③（票）を得る
,1094,fortune,[名] ①財産 ②運
,1095,property,[名] ①（主に集合的）財産，資産 ②（物質の）特性 ③（建物を含む）所有地
,1096,fund,[名] ①（―s）資金 ②基金 [他] ③～に資金を出す
,1097,stock,[名] ①株（式)②在庫品，蓄え
,1098,labor,[名] ①労働 ②（集合的に）労働者 ③努力，陣痛
,1099,overwork,[自] ①働きすぎる [他] ②～を働かせすぎる，酷使する [名] ③過労
,1100,firm,[名] ①会社 [形] ②（土台，信念などが）固い ③（体が）引き締まった
,1101,union,[名] ①労働組合 ②合併 ③連邦
,1102,administration,[名] ①経営，運営 ②行政 ③政権 （①②は〈不可算〉）
,1103,secretary,[名] ①秘書 ②（米国の各省の）長官，事務局長
,1104,editor,[名] （新聞，雑誌などの）編集長，（書籍の）編集者
,1105,client,[名] ①依頼人 ②（サービス業の）取引先
,1106,recruit,[他] ①（団体・組織が）～を新規採用する [名] ②新兵，新人
,1107,basis,[名] ①基礎，根拠 ②（on a ～ basis）（～を）基準（として）
,1108,element,[名] ①（最も重要な）要素，（化学の）元素 ②（the ―s）自然の力，悪天候 ③（an ― of ～）少しの～
,1109,constitute,[他] ①（主語が複数）～を構成する ②（主語が単数）～である
,1110,unify,[他] ～を統一する
,1111,combine,[他] ①（A with B)（A）を（B と）結びつける，同時に行う [自] ②結びつく
,1112,unite,[自] ①団結する [他] ②～を団結させる
,1113,link,[名] ①関連、つながり [他] ②（A to B）（A）を（Bに）関連づける
,1114,relevant,[形] 関連のある，重要な
,1115,murder,[名] ①殺人 ②（形容詞的に）殺人の [他] ③（計画的に）～を殺す
,1116,arrest,[他] ①～を逮捕する [名] ②逮捕，（医学用語）停止
,1117,prison,[名] 刑務所
,1118,vice,[名] ①（売春，麻薬などの）犯罪〈不可算〉 ②悪徳 [形] ③副～
,1119,witness,[名] ①目撃者，証人 ②証言 [他] ③～を目撃する
,1120,bullet,[名] 弾丸
,1121,sword,[名] 剣
,1122,wound,[名] ①傷 [他] ②～を傷つける
,1123,triumph,[名] ①勝利 [自] ②勝利する
,1124,military,[形] 軍事的な
,1125,strategy,[名] 戦略
,1126,conquer,[他] ①（国や地域）を征服する ②（病気や恐怖など）を克服する
,1127,defend,[他] （A from B）（B からA）を守る
,1128,dominate,[他] ～を支配する
,1129,rob,[他] ①（銀行など）を襲う ②（A of B）（A）から（B を）奪う
,1130,deprive,[他] （A of B)（A）から（B を）奪う
,1131,devastate,[他] ①（町など）を壊滅させる ②（人）を打ちのめす
,1132,crash,[自] ①激突する ②（飛行機が）墜落する [名] ③激突，墜落
,1133,hazard,[名] 危険（になり得るもの）<可算>
,1134,debris,[名] 破片，残骸
,1135,orphan,[名] 孤児
,1136,slave,[名] ①奴隷 ②（to ～）（比喩的に）（～の）奴隷
,1137,acquaintance,[名] ①知人 ②面識，（ちょっとした）知識
,1138,merchant,[名] 商人
,1139,resident,[名] ①住人，居住者 ②滞在者 [形] ③住んでいる
,1140,crew,[名] ①（集合的に）乗組員 ②（取材などの）チーム
,1141,chase,[他] ①～を追いかける [名] ②追跡
,1142,proceed,[自] ①（順を追って）進む ②（to do）（さらに続けて）～する
,1143,fade,[自] （色，記憶などが）薄れる
,1144,dissolve,[自] ①溶ける [他] ②～を溶かす ③（議会など）を解散する
,1145,float,[自] ①浮かぶ [他] ②～を浮かべる
,1146,sink,[自] ①沈む [他] ②～を沈める [名] ③（台所の）流し
,1147,bounce,[自] ①（ボールなどが）跳ねる [他] ②（宛先不明で）～を返送する
,1148,transform,[他] ①～を（大幅に）変える [自] ②（大幅に）変形する，変身する
,1149,shift,[名] ①（考え方の）転換 ②（勤務の）交替
,1150,modify,[他] ～を修正する
,1151,revise,[他] （制度，予測，論文など）を修正する，改正する
,1152,enhance,[他] ～を向上させる
,1153,lower,[他] ～を下げる
,1154,voyage,[名] 航海，船旅
,1155,confirm,[他] ①～を確認する ②～を裏付ける
,1156,ensure,[他] ～を確実にする
,1157,address,[他] ①～に取り組む ②～に呼びかける [名] ③演説 ④住所
,1158,approach,[名] ①（to ～）（～への）取り組み方，接近 [他] ②～に取り組む，接近する
,1159,resolve,[他] ①～を解決する ②（to do）（～する）決心をする
,1160,settle,[他] ①（紛争など）を解決する ②～を置く，据える [自] ③定住する ④（on ～）（～を）決める
,1161,enrich,[他] ～を豊かにする
,1162,warn,[他] ①～に警告する [自] ②（of[against]～）（～に対して）警告する
,1163,force,[他] ①～に強いる [名] ②力，武力
,1164,appeal,[自] ①（to ～）（～に）訴える [名] ②魅力，人気 ③（for ～）（～に対する）訴え
,1165,applause,[名] 拍手〈不可算〉
,1166,leap,[自] ①跳ぶ [名] ②躍進，急増
,1167,grab,[他] ①（ぐいっと）～をつかむ ②（急いで食事，睡眠）をとる
,1168,seize,[他] ①～をつかむ ②（麻薬など）を押収する，（犯人）を捕らえる
,1169,cast,[他] ①～を投げる ②（光など）を投げかける ③～に役を与える
,1170,stun,[他] ①～を気絶させる ②～をぼう然とさせる
,1171,illuminate,[他] ①～を照らす ②（問題など）を解明する
,1172,uncover,[他] ～を明らかにする，暴く
,1173,mend,[他] ～を修繕する
,1174,react,[自] （to ～）（～に）反応する
,1175,endure,[他] （長期にわたり）～に耐える
,1176,bind,[他] ～を結びつける，縛る
,1177,encounter,[他] ①～に偶然出会う ②（問題，反対など）に遭う [名] ③出会い
,1178,trace,[他] ①～を捜し出す ②～の追跡調査をする [名] ③（微妙な）跡
,1179,undergo,[他] ～を経験する
,1180,seal,[他] ①～を密封する [名] ②（personal ―）印鑑，ハンコ
,1181,incorporate,[他] ～を取り入れる
,1182,emerge,[自] ①（隠れていたものが）現れる ②（国家などが）台頭する
,1183,unfold,[自] ①展開する，はっきりしてくる [他] ②～を広げる
,1184,derive,[自] ①（from ～）（～に）由来する [他] ②～を引き出す，得る
,1185,generate,[他] （電気，利益など）を生み出す
,1186,possess,[他] ～を所有している
,1187,retain,[他] ～を保持する
,1188,secure,[他] ①（場所，地位，契約など）を確保する [形] ②安全で，守られて
,1189,capture,[他] ①～を捕らえる [名] ②捕獲，（敵地の）攻略
,1190,monitor,[他] ①～を監視する [名] ②（コンピュータの）画面
,1191,investigate,[他] ①（研究班などが）～を調査する ②（警察が）～を捜査する
,1192,detect,[他] ～を探知する，（病気など）を発見する，（うそなど）を見抜く
,1193,inquiry,[名] ①（into ～）（～の）調査 ②質問，問い合わせ
,1194,specialize,[自] （in ～)①〈英〉（～を）専攻する ②（～を）専門にする
,1195,semester,[名] （米，日本などの２学期制の）学期
,1196,biology,[名] 生物学
,1197,ecology,[名] 生態（学）
,1198,philosophy,[名] ①（学問としての）哲学〈不可算〉 ②人生哲学，考え方〈可算〉
,1199,geography,[名] 地理（学）
,1200,institution,[名] ①（大学，病院などの）機関 ②（結婚などの）制度
,1201,faculty,[名] ①（生まれ持った）能力 ②（大学の）学部 ③（大学の）全教員
,1202,intermediate,[形] ①（授業・教材が）中級の ②中間の
,1203,notion,[名] 考え
,1204,concept,[名] 概念，考え
,1205,meditation,[名] ①瞑想 ②熟考
,1206,insight,[名] ①（into ～）（～に対する）洞察（力)②見識
,1207,caution,[名] ①用心 ②警告 [他] ③～に注意［警告］を与える
,1208,will,[名] ①意志 ②遺書
,1209,option,[名] 選択肢，選択（の自由）
,1210,prospect,[名] 見通し
,1211,cherish,[他] ～を大切にする，胸に抱く
,1212,intend,[他] （to do）～するつもりだ
,1213,suspect,[他] ①（that SV）～ではないかと思う ②～に嫌疑をかける [名] ③容疑者
,1214,identify,[他] ①～を特定する，《生物》～を同定する ②（A with B）（A）を（B と）同一視する [自] ③（with ～）（～と）一体感をもつ，（～に）なりきる
,1215,permit,[他] ①～を許可する [名] ②許可証
,1216,acknowledge,[他] ～を認める
,1217,perceive,[他] ①（A as B）（A）を（B だと）認識する ②～を知覚する
,1218,evaluate,[他] ～を（正しく）評価する
,1219,cultivate,[他] ①～を耕す ②～を育む ③～を磨く
,1220,shade,[名] ①日陰，（絵画，写真の）陰の部分，ブラインド ②（ーs）（意味などの）わずかな違い
,1221,breeze,[名] そよ風
,1222,desert,[名] ①砂漠 [他] ②～を見捨てる
,1223,fog,[名] 霧
,1224,moisture,[名] 湿気，水分
,1225,damp,[形] 湿った，じめじめした
,1226,path,[名] （小）道
,1227,trail,[名] ①山道 ②跡 ③（a ― of destruction）（破壊の）爪跡
,1228,stream,[名] ①小川 ②（a ― of ～）（～の）流れ
,1229,tide,[名] ①潮（の干満），潮流 ②時流
,1230,reef,[名] （岩や砂の）礁
,1231,habitat,[名] 生息地
,1232,volcano,[名] 火山
,1233,mine,[名] ①鉱山 ②地雷（＝landmine）
,1234,swallow,[名] ①ツバメ [他] ②～を飲み込む
,1235,web,[名] ①（クモの）巣 ②インターネット（www＝the World Wide Web）
,1236,mosquito,[名] 蚊
,1237,cattle,[名] ウシ
,1238,kitten,[名] 子ネコ
,1239,organism,[名] 生物
,1240,wildlife,[名] 野生生物
,1241,beast,[名] 野獣
,1242,ape,[名] 類人猿
,1243,flock,[名] ①（鳥，羊の）群れ [自] ②群れる
,1244,vein,[名] 静脈
,1245,breed,[自] ①繁殖する [他] ②～を繁殖させる ③～を引き起こす [名] ④品種，血統
,1246,reproduce,[自] ①繁殖する [他] ②～を繁殖させる ③（音，絵など）を再現する
,1247,talkative,[形] おしゃべりの
,1248,earnest,[形] ①真面目な [名] ②（in ―）真面目（に）
,1249,diligent,[形] 勤勉な
,1250,principal,[形] ①主要な [名] ②〈米〉校長
,1251,prime,[形] ①（目標，容疑者などが）最重要な [名] ②素数
,1252,definite,[形] 明確な
,1253,evident,[形] 明らかな
,1254,prominent,[形] ①（物が）目立った ②（人が）著名な，重要な
,1255,marked,[形] （名詞の前で）際立った，著しい
,1256,grace,[名] ①優美さ ②（say ―）（食事の前後の）感謝の祈り（をささげる）
,1257,charm,[名] ①魅力 ②（a good ― luck ―）お守り，まじない
,1258,fancy,[形] ①高級な [他] ②〈英〉～が欲しい，～したい ③～と思う
,1259,rational,[形] 理性的な
,1260,magnificent,[形] 壮大な，素晴らしい
,1261,superior,[形] ①（be ― to ～）（～）より優れている [名] ②上役，上司
,1262,loyal,[形] （to ～）（～に）忠実な
,1263,horrible,[形] （物，天気などが）とてもひどい，ぞっとする
,1264,miserable,[形] 悲惨な，とても不幸な
,1265,dull,[形] ①退屈な ②切れ味が悪い ③（人，感覚などが）鈍い
,1266,nasty,[形] （人，物，発言などが）不快な
,1267,insane,[形] 正気でない
,1268,ridiculous,[形] ばかげた
,1269,rotten,[形] 腐った
,1270,notorious,[形] （for ～）（～で）悪名高い
,1271,evil,[形] ①（道徳的に）悪い [名] ②悪
,1272,mess,[名] ①乱雑 [自] ②（with ～）（～を）からかう，ちょっかいを出す
,1273,vast,[形] ①（地域，土地が）広大な ②（数量が）莫大な
,1274,huge,[形] 巨大な
,1275,tiny,[形] とても小さな
,1276,sphere,[名] ①球体 ②領域，範囲
,1277,strip,[名] ①細長い一片 [他] ②（罰として）～から奪う [自] ③裸になる
,1278,vessel,[名] ①（血液などを通す）管 ②（大型の）船
,1279,internal,[形] ①内部の，体内の ②国内の
,1280,mobile,[形] ①流動的な [名] ②携帯電話
,1281,steep,[形] ①（坂などが）険しい ②（増減が）急な，（価格などが）異常に高い
,1282,intense,[形] （感情，競争などが）強烈な
,1283,inevitable,[形] 避けられない，必然的な
,1284,neutral,[形] ①中立の [名] ②中立
,1285,brief,[形] ①手短な，簡潔な [名] ②要約
,1286,bare,[形] ①むき出しの ②最低限の
,1287,mutual,[形] ①（感情，行為が）相互の ②（友だち，趣味などが）共通の
,1288,potential,[形] ①潜在的な [名] ②潜在能力，可能性〈不可算〉
,1289,tough,[形] ①たくましい，頑強な ②骨の折れる，厳しい
,1290,conventional,[形] 従来の，慣習的な
,1291,supreme,[形] 最高の
,1292,resemble,[他] ～に似ている
,1293,contrary,[名] ①（on the ―）それどころか [副] ②（― to A）（A とは）反対に [形] ③（（名詞)to the ―）それとは反対の～
,1294,category,[名] 範疇
,1295,scope,[名] 範囲
,1296,given,[形] ①（時間，量などが）定められた [前] ②～を考慮すると
,1297,peculiar,[形] ①（to ～）（～に）固有の ②独特な，変な
,1298,sufficient,[形] 十分な
,1299,numerous,[形] 多くの
,1300,substantial,[形] ①かなりの，たくさんの ②内容のある，重要な
,1301,unit,[名] 単位
,1302,diameter,[名] 直径
,1303,arithmetic,[名] 算術
,1304,quantity,[名] 量
,1305,deficiency,[名] 欠乏，不足
,1306,maximum,[名] 最大限
,1307,bunch,[名] (花や鍵などの)束，(ブドウなどの)房
,1308,lessen,[他] ～を減らす
,1309,era,[名] 時代
,1310,session,[名] ①（活動の）期間 ②（議会などの）会期 ③（ある活動の）集まり
,1311,pause,[名] ①休止 [自] ②休止する
,1312,annual,[形] ①年に1度の ②1年間の（予算，収入など）
,1313,eternal,[形] （命や若さなど）永遠の
,1314,initial,[形] ①最初の [名] ②頭文字，イニシャル
,1315,prior,[形] ①（to ～）～より前の ②（時間・順序が）前の
,1316,subsequent,[形] （to ～）（～に）続いて起こる
,1317,meanwhile,[副] ①その間 ②（対比を示して）その一方で
,1318,routine,[名] ①決まりきった仕事 [形] ②日常の
,1319,souvenir,[名] 土産，記念品
,1320,brick,[名] ①れんが ②〈英〉（おもちゃの）積み木
,1321,pole,[名] ①棒，さお，柱 ②（天体，地球の）極
,1322,mischief,[名] いたずら〈不可算〉
,1323,superstition,[名] 迷信
,1324,storage,[名] 貯蔵，保管〈不可算〉
,1325,shelter,[名] ①避難（所)②住居
,1326,garment,[名] 衣類
,1327,canal,[名] 運河
,1328,cabinet,[名] ①戸棚 ②（the C―）内閣
,1329,incident,[名] （主に不快な）出来事
,1330,circumstance,[名] （通例 ―s）状況，事情
,1331,fetch,[他] （主に〈英〉）～を取って来る
,1332,distribute,[他] ①～を分配する，配る ②（be ―d）分布している
,1333,purchase,[他] ①～を購入する [名] ②購入（品）
,1334,statue,[名] 像
,1335,sculpture,[名] 彫刻
,1336,myth,[名] ①（俗説という意味での）神話 ②（古代の）神話
,1337,craft,[名] ①工芸（品)②（職人の）技術 ③船，乗り物（単複同形）
,1338,journal,[名] ①雑誌，専門誌 ②（公的な）日誌，日記
,1339,encyclopedia,[名] 百科事典
,1340,heaven,[名] ①天国 ②（the ―s）空
